,Review,Ratings,Date
0,C rajputana is a very good hotel. It has a great taste of Rajasthani foods. The hotel is so luxurious and amazing. The staff and service of ITC is cooperative and kind . ITC rajputana was a best choice for my cousin brother wedding. The food was amazing especially the italian. The hotel is best for trips with family and wedding and business trip too. I mention here a lady who works in kitchen department of ITC miss Banita. She was very generous and kind . So please go and look for this hotel. Overall it's amazing.,4,ote a review Today
1,is was my first experience with ITC Rajputana and I was mesmerised! It has a beautiful entrance and a lot of other places to explore. The poolside is amazing and so is the service plus the hotel has done everything to ensure a safe stay post lockdown with every safety measures in place The service was absolutely brilliant and prompt which indeed made the stay delightful. Food served was again fantastic & delicious at Peshawri Restaurant.  Worth visitig again.,5,eview Yesterday
2,is hotel has the best restaurants which includes  Peshawari. The service is just amazing. The rooms are comfortable and elegant. The bathrooms are also big and neat. The pool side is comforting and relaxing.  Best property I have visited so far.,5, a review Yesterday
3,st hotel for the ones who love to enjoy the meals. The restaurants here are delicious. Its service is brilliant and elegant. The pool side is bit of a place where you can relax and chill. The rooms are also very comfortable.,5,wrote a review Yesterday
4,"d travelled for a project, and the hotel staff were very accommodating, specially given the last minute requests from clients. The management out of their way to ensure the event was a success, while ensuring the safety of all present.",5,eview Yesterday
5, you are looking to plan a safe trip and your destination is Jaipur I must recommend ITC. They are best with all the safety norms and following all the given guidelines we recently stayed there first I was in doubt as this was first travel plan since after lockdown but as soon as we checked in I was in relief that my family is all safe. Rooms were sanitised every one was there with mask and gloves it was wonderful experience staying here. Also appreciate front team lobby people for being great help,5,wrote a review Yesterday
6,"m trainer Rajeev Singh is top class, stood with me throughout the session and corrected my form in different exercises. Good property, great ambience, good location. Food and drinks too were nice. Overall decent experience.",5,rote a review Yesterday
7," is the one of the best property in the Jaipur with beautiful ambience (one must click the photos). The staff is very cooperative and understandable.   I would like to take few names Mr. Rohit and Mr. Dhruv (from front office) who have given us the best service and making our stay comfortable. I really appreciate their service.   Also, the entire team has done the wonderful job.",5, review 14 Dec
8,"e room was super duper excellent with pool view. It was proper clean and size of the room is quite big with large balcony. The view is very beautiful.   Specially, I would like to thank you Mr. Rohit and Mr. Dhruv (from front office) for assisting us and giving us the nice welcome.   Also, Thank you so much to entire team for making our stay comfortable.",5,a review 14 Dec
9,"C Rajputana is a great hotel with a very good ambiance. It brings the taste of Rajasthan flavor and Jaipuri homes. The overall design of the hotel is luxurious. You can have all types of stays like you can come for a vacation. ITC Rajputana was the best option for my brother's wedding. I really like all over the service and the decor was awesome. you can come for a family and friends trip or even for a business trip. The food is just yum. It has all services like Indian, Italian and also Chinese. It is a very beautiful place. The rooms are maintained very neatly and tidily. The staff is very co-operative, especially I want to mention two people over here Mr. Manoj Sharma who was handling concierge their he was very kind and helpful during my stay and the lady from kitchen…",5,rote a review 14 Dec
10,"is hotel is best in jaipur..fully sanitised rooms with all amenities...! Great view..! Well trained staff..! Best hotel during this pandemic you are all safe here they follow all the protocols and are very careful few staff from lobby ayushi, aditi  were  very generous and kind thnkx to them was of great help",5,te a review 14 Dec
11,is hotel is best in jaipur i have been to many place and this was my first visit to jaipur itc hotel hotel is so grand lobby is very good also very fast with services  good restaurants staff very professional helping ayushi and aditi very good always there to guide us and help us during our stay,5, review 14 Dec
12, checked in few days back to be a part of wedding our arrival was the best I experience in this hotel that rose petals on us was so surprising and beautiful. Also very quick checkin rooms were very comfortable all the venues for functions was beautiful and so as food was great too  Special thankx to Satyanarayan and Dharmesh very kind gentle men also aditi for guiding us everything,5,a review 14 Dec
