,Review,Label
0,booked rooms family staycation sadly forgettable experience checking took close hour one room subsequently told room keys left room ready family members reached registering two front office agents mentioned no thing leaving room keys room wrong info throughout tried book slots infinity pool system full bugs eventually could not secure slots told front office agent trying book oct system went live first implementation thus lot bugs managed get slot end staffs poorly trained wanted visit sky park directed bridge heading towards gardens bay checking never informed breakfast call ask breakfast rise cafe poor signal one staff wanted order food acknowledged never came back wait vain no one bothers take order checking never informed person booking room present apply sands membership lifestyle card end make multiple trips apply wasted almost half day admin stuffs poorly managed processes very lousy communication never informed baby cot reserved way ahead front office agent told check availability baby cot ended no one got back price paid totally not worth probably also healthcare promo service quality compromised,Negative
1,booked bay suite family seamless booking process hotline worried checking process fast not many sands lounge recommend pay little club lounge benefits general queues long room quality excellent view gardens bay tips breakfast spago food coffee quality superior restaurant options butler service great fruits cookies milk cakes delivered daily book pool slot advance won disappointed amazing experience swimming sky beautiful city skyline backdrop five stars high service quality among every staff room quality hope tvs upgraded soon looks pretty outdated time smart tvs netflix youtube current trend perfect stay,Postive
2,world class service highly recommended anyone believes top service imperative enjoyable stay parts may not spanking new eg balcony tiles beyond satisfied excellence customer service stay certainly reason enough want come back whenever called concern bathroom pool slot belongings left behind not addressed professionally empathetically swiftly must say massive marina bay sands really surprised us impeccable standard guest relations clearly guest satisfaction top priority therefore understood inside leaving even discerning guest impressed assured enjoyable memorable time special thanks first foremost edmund took feedback seriously went beyond meet expectations peter followed diligently find best solution us nicole also saw extra request polite housekeeping gentlemen attended us night day thank making stay happy one,Postive
3,family adults kids thoroughly enjoyable staycation marina bays sands room level good city view looking window apple stand left artmuseum right whole complex very crowded says living covid restrictions car parking bit hazzle q check restaurants busy meal times access infinity pool difficult guests limited one hour session per day skypark observation deck level must go mbs much enjoy night day stay,Postive
4,looking unforgettable staycation experience please go mbs celebrated birthday city view high floor premier room moment walked room amazed huge window captured beautiful skyline marina bay therapeutic regardless weather rained couple time infinity pool really sight behold really cold much fun actually like crowd control measure whereby check facility booking queued via sms room making excellent second day placed couple champagne glasses service crew jian yang placed number coaster espresso cubes guest well really nice touch made day think worth every single cent consider whole experience,Postive
5,great staycation celebrate anniversary alice polite efficient very helpful upon check even though busy guests mbs good system ensure safe social distancing strict number people going rooms room clean great view sea overall great time,Postive
6,booked room celebrate friend birthday wrote early request help planning surprise party amazed promptness replying best accommodate requests impressed concierge staff even knows needed simply told name explained concierge staff briefed supposed remember details needless say room pristine clean best stayed view room breathtaking,Postive
7,staycation great beautiful harbour view room clean staffs friendly good promo given credits per room night use dining sad didn manage access infinity pool fully book definitely come back staycation,Postive
8,years since last stayed mbs remains fun enjoyable infinity pool wasn available throughout nights stay many things eat within compound outside stayed tower time balcony could sit eat read chill appreciate view sea gardens bay bed linen extremely comfortable service very prompt pleasant also many restaurants shops wander great staycation,Postive
9,would extend compliment ms catherine pool attendance mbs went thru extra mile made holiday stay memorable one patient caring attitude worth commendable,Postive
10,would like compliment staff named hannah front office very kind helpful shows great initiative job keep enjoyed stay stayed st december,Postive
11,book premier twin city view room adults children months old family christmas staycation excitement crush within day confirmation give call room could not occupied adults child requested could accommodate either adults adults children much debate know would not win since policy ridiculous much space months old child need management need review room policy,Negative
12,wasn very happy time took checking even provided information via online check everything thereafter very good room perfect natural light fantastic view well maintained room accessories high quality bathroom fittings well cleaned windows hinted pays attention details clean towels wrapped higher safety pandemic perfectly working air conditioning control wifi better expected room service excellent terms food quality classy delivery infinity pool experience excellent almost magical advertised hit two snags stay problem hot water tv tried priority service button phone times,Postive
13,staying mbs phase implemented visited skypark swimming pool night morning take sunset sunrise photo pool appointment worth effort no longer crowded room comes balcony nice view garden bay though balcony needs cleaning could due covid restaurants room mrt within walking distance,Postive
14,always enjoyed stay mbs would like compliment staff name iryn front office very kind helpful show initiative towards job appreciated effort keep return,Postive
15,firstly may one time thing got room noisy fridge thought aircon makes light sleeper person not able sleep first night gave feedback straightly change fridge new one without noise almost gave second night go back home no point staycation without good sleep thankfully changed fridge everything ok strict number guest come go tower count front lift entrance bear mind give ample time quite queue busy hours far staycation journey goes pool limited hour very hard get slot make sure book early,Negative
16,nights wonderful stay marina bay sands lots shopping feasting come beautiful city break work festivities year round staff professionalism friendliness superior customer service skills pamper make stay enjoyable one,Postive
17,truly wonderful time mbs room stayed premiere room view room gardens bay relaxing very spacious even bathroom very nice bath tub room very clean towels robes even hygienically packed sealed special thanks one housekeeping staff xi mei appreciate initiative placing kiddie slipper small towel child returned room without us requesting daughter happy kiddie slipper also complimentary drinks soda cans bottles juice mini fridge bottled water snacks also complimentary tickets observatory sad,Postive
18,booked premier city view room bathtub create play space young kids didn regret decision lot fun running around room enjoyed water play bathtub also charmed city view every morning woke night skyline bedtime besides also complimentary tickets head observatory magnificent view foodwise lot options kids able eat free buffet restaurants mbs surprised book timeslot infinity pool good book slots moment receive confirmation email special thanks staff went,Postive
19,last time went mbs december went friends family member get special rooms good price food nice staff amazing rooms clean nice,Postive
20,staycation never holidays plans air land sea not option year staycation might best option booked premium room city view room size huge bathroom separate standing shower room bathtub family younger kids babies love ample size park gigantic stroller large space open luggages however not brushing kit brushing mug kids forgot bring one bathrobes slippers provided upon request shouldn included room since know kids checking not mentioned stool kids wash hands brush teeth big bathroom not necessary provide,Postive
21,staycation family rooms comfortable enjoyed infinity pool though book tine slots advance tend get sold pretty soon happy receive observatory tickets part staycation deal kids enjoyed view overall nice experience,Postive
22,stayed mbs tower room family due covid check process abit longer overall very happy services mbs room clean facing garden view would say big thank housekeeper level miss wang li sincere smile service definetely come back another staycation,Postive
23,mbs best accommodation amenities best service staff including check staff room service necessities room very spacious children like play room without worrying getting hurt enjoyed good scenery balcony thing chinese not like big mirror facing bed sleeping not good sign,Postive
24,night mbs price wise definitely high even though reduced due no travellers covid era however service quality speaks price everything top notch front desk security team room service definitely return extra money view infinity pool definitely one visit lifetime even though mbs years old amazingly well maintained amazing staycaytion trust one night isnt enough kudos staff making stay memorable one,Postive
25,marina bay sands one places must visit come like checkbox list rooms clean quite comfortable style tvs another age though first come car aware no direct access car park walk entire adjoining mall luggage mall huge tell stay not start best possible way also awsomely big somehow bit impression las vegas even airport especially time check covid use pool one hour day provided managed reserve time slot not always possible,Postive
26,first visited mbs time open remember excited new consort ten years still home best places dine sg duo covid pool bit annoying beside fun activities great nights,Postive
27,say best world may very well internationally famous world wide crazy rich asians movie lives every bit hype very impressive state art one kind features views definitely hands best pool world top guests food best want save money also walk lobby onto many options local malls food courts best world well,Postive
28,stayed iconic june husband years old daughter experience right check check amazing needless say mall attached huge almost luxury brands iconic infinity pool superb one cannot explain words experience gives staff super helpful everything requested very minimum time overall place gave us superb experience,Postive
29,never really thought staycation covid putting paid travel plans last many months weekend away barely kilometres home suddenly seemed not bad idea good really great job prioritizing health safety felt very safe infinity pool not first time charm admittedly worn instant hit rest folks group hard find fault truly eclectic experience views glitz enjoyed city garden views good ways city room views don balcony though got upgraded orchid suite second night could,Postive
30,staycation auntie days nights very happy comfortable clean room nice garden view room attendant dan dan very friendly polite room cleaned also very neat clean,Postive
31,stay outstanding nice service awesome front desk staffs friendly amicable stayed room premier city view room okay view great smoker head lavo smoking area level view greaaaaaat love love infinity pool staff extremely friendly couldnt get names filipino lady malay old man serving us drinks food best photographer rajan guess name thank rajan wonderful job much fun cons staying room dining little ex food isnt bad best use grab app food affordable lunch dinner head rasapura,Postive
