,Reviewer,Review,Ratings,Date
0,tarunsonawat,"Amazing, relaxed and a safe trip. The services were good and the staff very cooperative, especially the the Masala bay and the reservations guy who took an extra effort so that I could get the best deal",5,Yesterday
1,priyeshvarsolkar,"We had great time. We went for our 1st marriage anniversary and we had great experience. Service, facilities and amenities was really good. View from room was so beautiful and pleasant. i would like to visit again soon. ",5,Yesterday
2,cgganster,"We normally stay at the Taj Lands End due to its location in Bandra West. Previously we also tried the Fours Seasons & the Sofitel BKC, however with Mumbai's crazy traffic, we lose too much time in cars. So we make the Taj our Home whenever we are in Mumbai. This time two people clearly stood out, Merlin from Front Office as well as Taronish Karkaria, the Director of Rooms, who made our stay so much more enjoyable. Being a Taj Loyalty Member, we were granted an upgrade & early check in. Nice amenities, one of the renovated rooms, facing the Ocean & the personalization you would look for - including WhatsApp access to Taronish. On our second stay within a 2-week window, he arranged Covid-19 testing in the privacy of our Room, which was extremely convenient as we had our 3-months old Baby with us & didn't want to roam around Mumbai & the various Hospitals to get tested. In Room Dining (especially the Chinese & Indian) was incredible, very good quality, served with the highest hygiene standards. Great job Taj Lands End - we will be back in a few months & look forward to it. Thank you Taronish, Merlin & the entire Team.…",5,7 Dec
3,tanishq2020,"Terrible service of restaurant VISTAS , they dont know how to talk to a customer , half of the things from the menu are not available only. Except restaurant hotel is nice to stay and location is the best in mumbai according to me.",1,6 Dec
4,CAAshok71,The hotel is located at a very nice place and TAJ has a signature service standard which is very good. It is worth the money. I enjoyed the stay. They charged me for the extra water which was not fair but otherwise overall good experience and would recommend the hotel to all. ,3,6 Dec
5,ANGATraveen,The hotel is pretty good... amazingly located. Quite easy to move around the city from and to this hotel. Deluxe luxury Rooms are pretty comfortable with a lovely sea view. The service is very satisfactory... staff goes out of their way to help and fulfill request. 20-30 min to the airport.,5,6 Dec
6,Sarosh,"Wonderful experience, the staff is excellent and very polite, every precaution was taken to maintain social distancing and sanitisation, i think this would be the best hotel in the Taj group to stay at, considering it's location in the queen of the suburbs, would highly recommend this hotel to have a relaxing experience :)",5,w 5 Dec
7,balamurugan2020,"Taj quality of food as usual was very good - service and parking was very poor . The hotel was overcrowded- weddings - waiting for breakfast, lift  etc was not expected . Social distancing in the lift - negative ",3,2 Dec
8,Rajesh,"it was an Excellent stay , with a great ambience well maintained , superb services right from security guards, team at hotel reception , staff members at the restaurants, housekeeping staff  and also the managerial team ",5,w 1 Dec
9,Riyaz,"Stayed 17 nights at @TajLandsEnd in the middle of the Pandemic and let me tell you, the staff at Taj Lands End has done everything possible to ensure a luxurious stay for us.  The rooms are very spacious and the views are spectacular. Housekeeping takes special care and sanitizes the room every time. Minor adjustments to amenities in the room due to covid, but you can hardly notice it and is very thoughtful during these times to keep us safe.  Last minute wedding planning was a breeze with Krutika assisting us with all the arrangements for food, decorations and the suite. Special kudos again to Krutika for arranging a photoshoot for us within the hotel with special management permission as we did not want to leave the premises due to covid. Thank you to Francis and Salil for…",5,w Nov 2020
10,agrosan,"I will discuss, the pros and cons Pros   Beautiful location of the property    Luxurious room with beautiful view especially 2048.,and small pretty anniversary cake(cake size according to  your room category choice.)   Beautiful decor of hotel .  Three stars are only because of above three pros.  Cons  Pathetic food taste, being a five star food taste should be of same calibre.  But to my extreme disappointment,food was tasteless.  Margherita pizza was pathetic as starter, taste less with no flavour.  Idli hard and flavorless,same with chutney and sambhar.  Poor taste of panner sabzi and starter, only italian lasagne was bit better.  If you cant provide taste in limited menu(spread) all meals package then your five star tag doesnot justify.  Cake were more sour then sweet. Only…",3,Nov 2020
11,SFarhan,"Hard to write about Lands End. just go for it.  its perfect .... always enjoy visiting taj LE the endless view of the Arabian Ocean ....  Thank you to Keshav, Zafar, Priya  for making the stay so perfect",5,Nov 2020
12,Renee,We did a Staycation at Taj lands ends and it was so relaxing and Amazing. The view of our room was out of this world.The staff was very helpful. Since it was Diwali we got a few Diwali sweets complimentary from the Hotel. The only sad part was we could dine at the Chambers since it was open to Taj members only. All in All there was nothing more perfect for a relaxing Staycation.,5,Nov 2020
13,Smita,"We had a pleasant stay at Taj Lands End.  The room was comfortable and the service at Taj Club lounge was really good.  But the best part was the customer service. Everyone was courteous and helpful.  Would like to specially thank Assistant front office manager, Mr Prashar for the excellent hospitality and for addressing our concerns promptly. ",4,w Nov 2020
14,noor1306,Excellent stay. Clean hygiene room. Spotless room. Lavish King size breakfast. Beautiful ambiance. Warm welcome by the staff at the front desk. Escorted to the room. Pleasing Smiling staff. Beautiful view from the room. Sealink View.,5,Nov 2020
15,Kaushik,"Room service stuff  required were found easily. Toiletries were of good quality. Many choice  off tea bags and coffee powder.  Was a bit confused on lighting switches, it was great to have the mood lighting options one I got used to it.",5,w Nov 2020
16,singhishreyansh,"Taj group of hotels are always the best experience for me . I have stayed in almost all 5stars especially in mumbai but nothing beats the Taj . Taj Land's end is my personal favourite primarily cos of its location, breakfast and on top of that the relentless staff right from the valet desk to the experience at check in to housekeeping everyone does their best to make your stay hassle free .",5,Nov 2020
17,Ashok,"Made a first time booking for my wife's birthday when one of my good friend recommended. And the service offered by the staff at this property including breakfast was one of the best experience I ever had in any star hotels in India. The chocolate cake was lipsmacking.   The room was beautiful, elegant, serene with a great ambience and the best part is the sea view and the sunset.   Location was great as it is in Bandra, lot of good food places, shopping, a dog park, a park and basically you can go for a quick stroll around without being bored. Also, Bandra Bandstand is right next door and a must visit.   The service and hospitality by Taj was outstanding and excellent. Staff were very helpful and approachable. Thank you very much team for the wonderful Tajness :). ",5,Nov 2020
18,serveshsinghai,"Rooms are good but the food and services are very poor, no one chk are Temperature and O2 level, I am asking 3 times for spoon set, The captain are not attend the table  they are given attention those given the order on table not for Buffet  person  ",2,Nov 2020
19,maryfernandes2020,"I had booked  for two nights and had requested for a sea view room as it was our first experience at Taj, booking the room at Taj, Bandra was basically to get a full view of the sea as we wake up in the morning. Especially my daughter's wish. she was very excited. Unfortunately, at the time of check in we were told, sea view rooms are not available and had to adjust with half sea facing view. Overall it was a pleasant stay. only missed the sunrise/sunset and direct view of the sea.",4,Nov 2020
20,Dyuti,"Excellent hotel. All the services given are very good. They gave us sea view room. Due to pandemic sanitisation, distancing & cleanliness was taken on priority. Beautiful arrangements. We had long journey from Toronto but ambience relaxed us immediately. The only thing to be improved is staffs communication within themselves. Thanks Dyuti",5,w Nov 2020
21,Kamalnaini,"This was my first experience with the Taj group....first it was Taj exotica Goa and then I landed in Taj Landsend mumbai...superb experience from check in to check out.... made to feel at home completely. Thanx to Laxmi, Rejju and Vishakha. Will come back for sure... Vijay Laxmi and Vishakha took very good care of me... the room given to me was very good with an awesome un obstructed view of the Arabian Sea....thank you to Rejju for the lovely breakfast daily....one should definitely experience the hospitality at the Taj group.... guess u won’t be choosing any other hotel then...Will surely come back and stay with them again and I’ll surely be choosing the Taj group at other destinations as well.... keep up the good work u guys and it is correctly said “wah Taj”",5,Nov 2020
22,rupesh601,"I would like to Thank the entire team of Taj Landsend for making our Diwali memorable. I have been celebrating Diwali and new year since more than 5 years  and it feels like my second home. Whilst panademic, I chose to celebrate  Diwali as I only trust Taj group for safe family vacation.My special thank to GM Mr. Praveen Chander for making sure all measures were taken for safety & hygiene of the guests. His efforts are commendable.   My Thanks to In Room dining staff- Basil, Ankita, Aniket,Sakshi, Preeti,Fela, Pushpanathan. Also many thank to Butler services- Tridev,Gokren,Musa,Denney,Ganesh, Hildeg for excellent services and hospitality.  At the time of checkin i got very warm welcome by Tejal Vijaylaxmi,Atharv.  Many thanks to swati FM for always making our diwali vacation…",5,Nov 2020
23,sanjay961,"It was a Great Birthday & Diwali Celebration along with Family at Taj Lands End, Mumbai The service was great and excellent, Complete sentization Care was followed by the Hotel Staff Keep it up Wah-Taj ",5,Nov 2020
24,Ramesh,"Was there with family pre-COVID. Good amenities but very procedural and time wasting. Also the staff cannot take any decision easily and give straight answers. Breakfast is good and varied, as in the reviews. Other services are average. The security features for clients are cumbersome and unfortunately easily bypassed. Mind; late night transport to and from there is expensive and travel time quite long. WIfi is extremely limited to a few appliances only and is slow and not all over the place. TV programmes are very limited. Other lesser hotels do better. Anyway, once tasted, twice shy. Look for other bargains. It is also noisy due to incessant wedding and other events in the basement area.",3,w Nov 2020
25,Naksnansi,This is by far one of the best stay cations I have done in mumbai. I live in mumbai and booked taj lands end for a special occasion and boy did they take care of us. It almost felt like I had more people as part of the celebration and they were the hotel staff. I have always been impressed with Taj and its hospitality but this time I experienced it first hand. Happily returning to this and other Taj properties! Special shout out to Guest Relations at Taj lands end! Superb team! ,5,Nov 2020
26,shwetughodake,"Hotel is good, staff also good but room interior is very old , Taj hotel is my lovely brand, I m not happy becouse of room interior and bed, if posible please try to make new interior, bathrooms are very good, ",3,Nov 2020
27,Jayesh,"The famed Taj Hospitality is seen here except in the Vista Restaurant.  Still I will give it 5 star.  The check in was smooth and the staff were courteous.  No welcome drink or welcome chocolate.  But the smile was there.  Moved to the room in a jiffy.  Not many hotels do this.  The sea facing room is a dream.  You can sit for hours there.  The care taken to celebrate my daughter's birthday was visible everywhere.  A few minor hiccups like: It took hours to get a extra blanket and pillow, probably due to less staff.  And the visibly unbearably slow service in Vista restaurant.  Takes 30 minutes for an omelette or a dosa.  Took 1 hour to get a curd for the paratha.  When you have aloo paratha in breakfast, where is the curd.  The Taj smiles were missing in Vista.   But these…",5,rote a review Nov 2020
28,shiyadsn,One of the best hospitality Taj Landsend Mumbai good stuff good management also this Corona Pandemic situation all the staff caring and advising all the gust   wonderful hospitality thank you for all of taj lands end staff   ,5,Nov 2020
29,baghelaman49,"Excellent !!!! The stay was wonderful,specially the staff members Tanmay and Vishakha who are very humble and helpful,Who took  really good care of us during the stay,they made sure everything is perfect in our stay.",5,Nov 2020
30,Krunal,"Hello Everyone ! I Would Like Too Share My Experience @TAJ LANDS END BANDRA Taj team Helped me Out Wid An Hassle Free checkin My Room No was 2534 on deir Highest Floor n also Gv me a awesome View wid  Clear Sea View of bandra worli sealink  Excellent stay Nice and Spacious room and Fabulous view of sea link from room N thanx For Late As checkin Aswell Specially thanks to Vishakha, Pooja and Renuka for making my stay most memorable. Would Like Too Visit Soon",5,Nov 2020
31,RamendraBSinha,Awesome hospitality and Excellent experience and staff was very courteous and very well trained to please the guest. Spent two Nights over there and felt excellent and would highly recommend everyone to try their dinner specially buffet which have lot of varieties.,5,Nov 2020
32,pmjdial,"Since I am a TIC Member,  I had been visited at Taj Lands End so many times. You are requested to give first preference to TIC Members and give attention on their  request and fulfilled the request . Over all I can say that every thing is ok .",5,Nov 2020
33,Nitin,"Last weekend I decided to stay at Taj Lands end Bandra. Since I am a Taj Inner circle member, I booked for a 1-night stay over the phone. I was quite excited to visit this property with in my city. After reaching Taj I was told at the gate that for wallet parking I need to pay additional INR 300 as sanitization charges or else I can self-park my car in the parking lot and then walk down to the reception. Few hours after check in my in-room cable TV stopped working and I had to call twice to guest service to send someone, but no action taken and hence I had to personally go down to lobby level to complain. After this at 12:30 am I experienced very severe tooth ache and hence I called guest service twice to send me few ice cubes but again no action taken and once again I had to go…",1,w Nov 2020
34,Asawari,Very nice room arrangements from Arpit Sethi and Krutika Lalwani. Special thanks for food recommendations and surprise anniversary cake by Keshav. State of the art facilities. We enjoyed the stay alot.,5,a review Nov 2020
35,Ranawatv,Visited landsend from 3 rd November for two nights. A nightmarish experience starting from word go. In covid times a luxury suite has someone medicine on the window seating platform. Instant cleaning of room with apologies tendered. Same evening in room dining services unable to handle order correctly. Have a missing dish and after repeated calling for another dish there is response but only on deaf ears. Had to sleep on an empty stomach that night. Morning am surrounded with staff and chefs to make my breakfast pleasant( great consolation with restaurant manager giving his number for any service desired. Evening in room service an ice bucket takes 45 minutes and that too when I ask to talk with manager. Message to restaurant manager with no response. He meets me for breakfast…,1,Nov 2020
36,Asha,"Currently staying in the hotel since we thought we should spend our last night here at our favorite chain of hotels before we leave mumbai for good .. The room is good with lovely views and facing my fav place in the city Father Agnelo’s House however , Unfortunately the services have been disappointing from the very start which is so unlikely of Taj .. I had requested for a late check out since my husband has his dialysis today and he would need some rest before we head out .. but even after telling them a valid reason the staff at the front desk was unable to do so .. giving a reason as it’s running on full occupancy and can’t adjust for 2-3 hours !! At a time when u need the most support considering the pandemic .. I can’t digest the fact that this hotel is running 100…",3,w Nov 2020
37,prestonisback,"Service to house keeping to kitchen everything was just amazing. Special thanks to Somalia, Rohit and Arnav. Service provided by them was outstanding,  they took really good care like a family. Highly touched and would definitely visit again Thank you once again team Taj.",4,Nov 2020
38,Rumanaachwa,"We stayed at Taj lands end for a period of 5 nights. Me and my husband had a great stay and a lovely time. The safety measures during this pandemic phase was top notch. Not one moment can I think where any of the hotel employees   slipped up. The place was always sanitised . All employees were wearing masks and face shields at all times and all the guests also on the property were acting very responsibly so safety was no concern at all. The food quality inspite  of the Covid times was excellent. The in room dining in particular was superb. A shout out to Mr Shafi shah, manager in room dinning for ensuring prompt service, excellent food quality and tremendous over all efficiency. The rooms were also spotlessly clean and completely sanitised. We were there originally for 3 nights…",5,Oct 2020
39,Sunil,"Stayed at Taj Lands End for couple of nights, having lived in Mumbai for last 15 years we had enjoyed the various restaurants and professional services of the hotel but never stayed. Before leaving Mumbai for good decided to bid Adieu to Mumbai from Lands End, loved it and will always stay here as and when we visit.",5, a review Oct 2020
40,tharesh,"Fantabulous  - Overall good experience and also the staff were good , with low staff too the ambience is maintained well. I appreciate everyone to give their best in all terms and made us happy. i wish to stay again. do send your promotional offer in tango_1841@hotmail.com",5,Oct 2020
41,mcneilldsilva,"Rite from check-in to check-out the experience was great. The hospitality impeccable The ambience of the place was amazing. The view of the Arabian sea, Bandra fort and garden and the Bandstand  made the experience worthwhile. From high tea to breakfast, the quality of service and food was noteworthy. The hygiene and sanitation measures followed were the best I have seen so far. Made another reservation already! Looking forward to another vacation with Taj!",5,Oct 2020
42,SOMESH,Taj doing what it does best. Very comfortable and clean stay. Great staff. Great food and great view. We were provided a sea view facing room and that just made our stay even better. Perfect weekend gateway.. :).,5,eview Oct 2020
43,Bhagirath,"My recent stays with taj lands end have turned into majorly upsetting chain of events right from check-in to in room dining where I was asked to pay upfront at 1 in the night even after my room payment was cleared during the check in. I gave my amex card which the machine didn’t accept, tried mastercard and that too didn’t work, tried paying cash but I was told no change was available, I lastly had to pay with my visa card. This happened twice the same night. It was scary because had my visa not worked at 1 in the night I would have been kicked out of the hotel. It was my 5th time in a row these kind of  annoying incidents have been happening at this particular hotel.   I specifically had booked king bed with sea view and was even called a day prior asking if I would require a…",1,w Oct 2020
44,rahul,"Went back after lockdown and felt like home especially after meeting the team . The warmth and interaction is so genuine.  Speaking to Lalita who by the way I have never met, was awesome.  Remembered all my preferences plus always goes out of the way to ensure a brilliant room service experience ",5,w Oct 2020
