,Review Text,Polarity_Rating
0,Amazing relaxed safe trip services good staff cooperative especially Masala bay reservations guy took extra effort could get best deal,Positive
1,great time went 1st marriage anniversary great experience Service facilities amenities really good View room beautiful pleasant would like visit soon,Positive
2,normally stay Taj Lands End due location Bandra West Previously also tried Fours Seasons Sofitel BKC however Mumbais crazy traffic lose much time cars make Taj Home whenever Mumbai time two people clearly stood Merlin Front Office well Taronish Karkaria Director Rooms made stay much enjoyable Taj Loyalty Member granted upgrade early check Nice amenities one renovated rooms facing Ocean personalization would look including WhatsApp access Taronish second stay within 2week window arranged Covid19 testing privacy Room extremely convenient 3months old Baby us didnt want roam around Mumbai various Hospitals get tested Room Dining especially Chinese Indian incredible good quality served highest hygiene standards Great job Taj Lands End back months look forward Thank Taronish Merlin entire Team…,Positive
5,hotel pretty good amazingly located Quite easy move around city hotel Deluxe luxury Rooms pretty comfortable lovely sea view service satisfactory staff goes way help fulfill request 2030 min airport,Positive
6,Wonderful experience staff excellent polite every precaution taken maintain social distancing sanitisation think would best hotel Taj group stay considering location queen suburbs would highly recommend hotel relaxing experience,Positive
8,Excellent stay great ambience well maintained superb services right security guards team hotel reception staff members restaurants housekeeping staff also managerial team,Positive
9,Stayed 17 nights TajLandsEnd middle Pandemic let tell staff Taj Lands End done everything possible ensure luxurious stay us rooms spacious views spectacular Housekeeping takes special care sanitizes room every time Minor adjustments amenities room due covid hardly notice thoughtful times keep us safe Last minute wedding planning breeze Krutika assisting us arrangements food decorations suite Special kudos Krutika arranging photoshoot us within hotel special management permission want leave premises due covid Thank Francis Salil for…,Positive
11,Hard write Lands End go perfect always enjoy visiting taj LE endless view Arabian Ocean Thank Keshav Zafar Priya making stay perfect,Positive
12,Staycation Taj lands ends relaxing Amazing view room worldThe staff helpful Since Diwali got Diwali sweets complimentary Hotel sad part could dine Chambers since open Taj members nothing perfect relaxing Staycation,Positive
13,pleasant stay Taj Lands End room comfortable service Taj Club lounge really good best part customer service Everyone courteous helpful Would like specially thank Assistant front office manager Mr Prashar excellent hospitality addressing concerns promptly,Positive
